Name,Year,Score,Genre,Language,Budget,Revenue,Profit
Jurassic World,2015-06-11,67.0,"Action,Adventure,Science Fiction,Thriller", English,215000000.0,1669963641.0,1454963641.0
Kingsman: The Golden Circle,2017-09-21,70.0,"Action,Adventure,Comedy", English,104000000.0,408803696.0,304803696.0
Spirit: Stallion of the Cimarron,2002-05-24,77.0,"Western,Animation,Adventure,Comedy,Family,Drama", English,80000000.0,106515310.0,26515310.0
Project X,2012-03-01,68.0,Comedy, English,12000000.0,103028188.0,91028188.0
Tarzan,1999-09-09,74.0,"Family,Adventure,Animation,Drama", English,145000000.0,448191819.0,303191819.0
Corpse Bride,2005-11-17,75.0,"Romance,Fantasy,Animation", English,30000000.0,114770654.0,84770654.0
Madagascar,2005-06-16,69.0,"Family,Animation,Adventure,Comedy", English,75000000.0,556559566.0,481559566.0
The Twilight Saga: Breaking Dawn - Part 1,2011-11-17,62.0,"Adventure,Fantasy,Romance", English,110000000.0,712171856.0,602171856.0
Maleficent,2014-05-29,71.0,"Fantasy,Adventure,Action,Family,Romance", English,180000000.0,758536735.0,578536735.0
xXx: Return of Xander Cage,2017-01-19,61.0,"Action,Adventure,Crime", English,85000000.0,345033359.0,260033359.0
Incredibles 2,2018-06-14,75.0,"Action,Adventure,Animation,Family", English,200000000.0,1242805359.0,1042805359.0
Cinderella,2015-03-26,68.0,"Romance,Fantasy,Family,Drama", English,95000000.0,542351353.0,447351353.0
Wreck-It Ralph,2012-12-26,73.0,"Family,Animation,Comedy,Adventure", English,165000000.0,496511521.0,331511521.0
The Equalizer,2014-09-24,72.0,"Thriller,Action,Crime", English,55000000.0,192903624.0,137903624.0
The Hangover Part III,2013-05-23,62.0,Comedy, English,103000000.0,362000072.0,259000072.0
Ice Age: The Meltdown,2006-04-06,67.0,"Animation,Family,Comedy,Adventure", English,75000000.0,651899282.0,576899282.0
Blended,2014-06-11,69.0,"Comedy,Romance", English,45000000.0,127990741.0,82990741.0
Jurassic World: Fallen Kingdom,2018-06-21,66.0,"Action,Adventure,Science Fiction,Thriller", English,170000000.0,1308323302.0,1138323302.0
The Meg,2018-08-16,62.0,"Action,Science Fiction,Horror", English,178000000.0,527267828.0,349267828.0
Coherence,2013-09-19,73.0,"Thriller,Science Fiction", English,2037792.0,102617.0,-1935175.0
Transformers: The Last Knight,2017-06-16,61.0,"Action,Adventure,Science Fiction", English,217000000.0,602893340.0,385893340.0
